CacheSize; PageFaults
10;110515
11;92847
12;79664
13;69583
14;61546
15;54737
16;48837
17;44149
18;39940
19;35754
20;32571
21;29257
22;26547
23;23650
24;21121
25;18611
26;16491
27;14566
28;12850
29;11270
30;9804
31;8366
32;7191
33;5964
34;5132
35;4105
36;3338
37;2807
38;2307
39;1739
40;1569
41;1331
42;914
43;855
44;738
45;555
46;472
47;370
48;327
49;219
50;240
51;205
52;191
53;182
54;186
55;136
56;115
57;114
58;91
59;110
60;102
61;92
62;79
63;85
64;71
65;67
66;68
67;67
68;67
69;67
