CacheSize; PageFaults
10;110797
11;92362
12;79664
13;69383
14;61410
15;54734
16;48902
17;44151
18;39770
19;35654
20;32480
21;29186
22;26485
23;23632
24;21041
25;18788
26;16739
27;14716
28;12957
29;11013
30;9841
31;8254
32;7418
33;5876
34;5047
35;4119
36;3521
37;2840
38;2171
39;1774
40;1482
41;1154
42;920
43;814
44;591
45;611
46;419
47;374
48;236
49;282
50;269
51;190
52;166
53;143
54;150
55;155
56;105
57;129
58;103
59;108
60;90
61;86
62;75
63;74
64;71
65;69
66;68
67;67
68;67
69;67
