CacheSize; PageFaults
10;79513
11;67311
12;59399
13;53308
14;48626
15;44751
16;41640
17;38951
18;36440
19;34244
20;31960
21;29873
22;27917
23;25972
24;24248
25;22585
26;20903
27;19164
28;17333
29;15540
30;13423
31;11045
32;8835
33;6760
34;4975
35;3394
36;2703
37;2107
38;1617
39;1162
40;758
41;558
42;387
43;299
44;240
45;184
46;146
47;122
48;113
49;104
50;98
51;92
52;88
53;81
54;77
55;74
56;76
57;71
58;70
59;70
60;70
61;68
62;67
63;67
64;67
65;67
66;67
67;67
68;67
